book_id,title,author_id,author_name,genre,difficulty,length_group,age_group,description
b_001,Тайна дракона,a_001,А. Ветров,Фэнтези,Начальный,Длинная,15–17,"Учебная книга жанра «фэнтези». Уровень: начальный, объём: длинная."
b_002,Дело закрытой комнаты,a_008,П. Романов,Детектив,Средний,Короткая,18+,"Учебная книга жанра «детектив». Уровень: средний, объём: короткая."
b_003,Сигнал за горизонтом,a_015,Ю. Казакова,Научная фантастика,Средний,Длинная,18+,"Учебная книга жанра «научная фантастика». Уровень: средний, объём: длинная."
b_004,Остров древнего города,a_002,М. Орлова,Приключения,Продвинутый,Средняя,12–14,"Учебная книга жанра «приключения». Уровень: продвинутый, объём: средняя."
b_005,Люди революций,a_010,С. Крылов,История,Средний,Средняя,12–14,"Учебная книга жанра «история». Уровень: средний, объём: средняя."
b_006,Как устроена Вселенная,a_017,Г. Никитина,Научпоп,Продвинутый,Средняя,18+,"Учебная книга жанра «научпоп». Уровень: продвинутый, объём: средняя."
b_007,Сила привычек,a_004,Е. Соколова,Психология,Средний,Короткая,12–14,"Учебная книга жанра «психология». Уровень: средний, объём: короткая."
b_008,Лето на окраине,a_011,Т. Зорина,Современная проза,Средний,Длинная,18+,"Учебная книга жанра «современная проза». Уровень: средний, объём: длинная."
b_009,Песнь дракона,a_019,А. Назарова,Фэнтези,Начальный,Длинная,18+,"Учебная книга жанра «фэнтези». Уровень: начальный, объём: длинная."
b_010,След закрытой комнаты,a_006,Д. Морозов,Детектив,Средний,Средняя,18+,"Учебная книга жанра «детектив». Уровень: средний, объём: средняя."
b_011,Орбита за горизонтом,a_013,Л. Миронова,Научная фантастика,Продвинутый,Короткая,15–17,"Учебная книга жанра «научная фантастика». Уровень: продвинутый, объём: короткая."
b_012,Маршрут древнего города,a_020,М. Павлов,Приключения,Средний,Средняя,12–14,"Учебная книга жанра «приключения». Уровень: средний, объём: средняя."
b_013,Город революций,a_008,П. Романов,История,Продвинутый,Длинная,15–17,"Учебная книга жанра «история». Уровень: продвинутый, объём: длинная."
b_014,Мир Вселенная,a_015,Ю. Казакова,Научпоп,Продвинутый,Длинная,15–17,"Учебная книга жанра «научпоп». Уровень: продвинутый, объём: длинная."
b_015,Навык привычек,a_002,М. Орлова,Психология,Продвинутый,Короткая,15–17,"Учебная книга жанра «психология». Уровень: продвинутый, объём: короткая."
b_016,Дом на окраине,a_009,О. Фёдорова,Современная проза,Начальный,Короткая,12–14,"Учебная книга жанра «современная проза». Уровень: начальный, объём: короткая."
b_017,Хроники дракона,a_017,Г. Никитина,Фэнтези,Продвинутый,Средняя,12–14,"Учебная книга жанра «фэнтези». Уровень: продвинутый, объём: средняя."
b_018,Загадка закрытой комнаты,a_004,Е. Соколова,Детектив,Продвинутый,Короткая,12–14,"Учебная книга жанра «детектив». Уровень: продвинутый, объём: короткая."
b_019,Колония за горизонтом,a_011,Т. Зорина,Научная фантастика,Средний,Длинная,18+,"Учебная книга жанра «научная фантастика». Уровень: средний, объём: длинная."
b_020,Карта древнего города,a_018,Ф. Сергеев,Приключения,Средний,Короткая,18+,"Учебная книга жанра «приключения». Уровень: средний, объём: короткая."
b_021,Эпоха революций,a_006,Д. Морозов,История,Продвинутый,Короткая,18+,"Учебная книга жанра «история». Уровень: продвинутый, объём: короткая."
b_022,Краткая история Вселенная,a_013,Л. Миронова,Научпоп,Начальный,Длинная,15–17,"Учебная книга жанра «научпоп». Уровень: начальный, объём: длинная."
b_023,Путь привычек,a_020,М. Павлов,Психология,Начальный,Длинная,15–17,"Учебная книга жанра «психология». Уровень: начальный, объём: длинная."
b_024,Письма на окраине,a_007,К. Волкова,Современная проза,Средний,Короткая,12–14,"Учебная книга жанра «современная проза». Уровень: средний, объём: короткая."
b_025,Легенда дракона,a_015,Ю. Казакова,Фэнтези,Средний,Длинная,15–17,"Учебная книга жанра «фэнтези». Уровень: средний, объём: длинная."
b_026,Тень закрытой комнаты,a_002,М. Орлова,Детектив,Средний,Короткая,18+,"Учебная книга жанра «детектив». Уровень: средний, объём: короткая."
b_027,Предел за горизонтом,a_009,О. Фёдорова,Научная фантастика,Средний,Средняя,12–14,"Учебная книга жанра «научная фантастика». Уровень: средний, объём: средняя."
b_028,Путь древнего города,a_016,Б. Тихонов,Приключения,Средний,Средняя,12–14,"Учебная книга жанра «приключения». Уровень: средний, объём: средняя."
b_029,Дорога революций,a_004,Е. Соколова,История,Продвинутый,Короткая,12–14,"Учебная книга жанра «история». Уровень: продвинутый, объём: короткая."
b_030,Почему работает Вселенная,a_011,Т. Зорина,Научпоп,Средний,Короткая,12–14,"Учебная книга жанра «научпоп». Уровень: средний, объём: короткая."
b_031,Практика привычек,a_018,Ф. Сергеев,Психология,Продвинутый,Короткая,18+,"Учебная книга жанра «психология». Уровень: продвинутый, объём: короткая."
b_032,Город на окраине,a_005,Н. Белова,Современная проза,Начальный,Короткая,15–17,"Учебная книга жанра «современная проза». Уровень: начальный, объём: короткая."
b_033,Башня дракона,a_013,Л. Миронова,Фэнтези,Продвинутый,Средняя,15–17,"Учебная книга жанра «фэнтези». Уровень: продвинутый, объём: средняя."
b_034,Исчезновение закрытой комнаты,a_020,М. Павлов,Детектив,Средний,Короткая,12–14,"Учебная книга жанра «детектив». Уровень: средний, объём: короткая."
b_035,Экспедиция за горизонтом,a_007,К. Волкова,Научная фантастика,Начальный,Короткая,18+,"Учебная книга жанра «научная фантастика». Уровень: начальный, объём: короткая."
b_036,Сокровище древнего города,a_014,Р. Данилов,Приключения,Продвинутый,Длинная,12–14,"Учебная книга жанра «приключения». Уровень: продвинутый, объём: длинная."
b_037,Свидетели революций,a_002,М. Орлова,История,Продвинутый,Короткая,15–17,"Учебная книга жанра «история». Уровень: продвинутый, объём: короткая."
b_038,Наука о Вселенная,a_009,О. Фёдорова,Научпоп,Продвинутый,Короткая,15–17,"Учебная книга жанра «научпоп». Уровень: продвинутый, объём: короткая."
